initial_temp,final_temp,attempt,best_iter,best_cost
300,0.05,1,147464,76.0
300,0.05,2,5212,75.0
300,0.05,3,5360,81.5
300,0.05,4,12475,70.0
300,0.05,5,23676,83.0
300,0.05,6,232214,72.0
300,0.05,7,83283,53.0
300,0.05,8,379102,68.5
300,0.05,9,96836,84.5
300,0.05,10,111388,50.5
300,0.05,11,238257,81.0
300,0.05,12,58718,75.0
300,0.05,13,297284,71.0
300,0.05,14,168705,81.0
300,0.05,15,67010,87.0
300,0.05,16,171362,68.0
300,0.05,17,134254,96.5
300,0.05,18,35900,67.5
300,0.05,19,8883,92.0
300,0.05,20,388528,86.0
300,0.05,21,142608,81.5
300,0.05,22,92373,51.0
300,0.05,23,101753,77.0
300,0.05,24,64651,76.5
300,0.05,25,65139,81.5
300,0.05,26,230908,84.5
300,0.05,27,36726,61.0
300,0.05,28,10127,71.0
300,0.05,29,255764,78.0
300,0.05,30,13485,74.5
300,0.05,31,5872,76.5
300,0.05,32,9435,64.0
300,0.05,33,142499,56.5
300,0.05,34,339969,76.0
300,0.05,35,38451,83.5
300,0.05,36,106481,78.0
300,0.05,37,121980,56.5
300,0.05,38,191103,55.5
300,0.05,39,238071,88.5
300,0.05,40,390324,79.0
300,0.05,41,49445,78.0
300,0.05,42,170505,71.0
300,0.05,43,178742,68.5
300,0.05,44,162066,63.5
300,0.05,45,46216,87.5
300,0.05,46,329807,74.5
300,0.05,47,34250,83.5
300,0.05,48,133995,56.5
300,0.05,49,233811,64.5
300,0.05,50,122528,86.5
300,0.05,51,166626,74.0
300,0.05,52,147291,72.5
300,0.05,53,118163,72.5
300,0.05,54,3482,87.0
300,0.05,55,148811,80.5
300,0.05,56,67517,88.5
300,0.05,57,86287,65.0
300,0.05,58,126934,86.0
300,0.05,59,34407,62.5
300,0.05,60,21894,90.0
300,0.05,61,110858,74.0
300,0.05,62,10083,69.5
300,0.05,63,16443,57.5
300,0.05,64,130329,73.5
300,0.05,65,24100,57.5
300,0.05,66,70553,78.0
300,0.05,67,8989,81.0
300,0.05,68,365081,82.5
300,0.05,69,4358,92.0
300,0.05,70,65408,78.5
300,0.05,71,263382,62.5
300,0.05,72,208623,68.5
300,0.05,73,401170,82.5
300,0.05,74,148452,71.5
300,0.05,75,160822,65.5
300,0.05,76,82747,72.5
300,0.05,77,179586,81.0
300,0.05,78,39231,70.5
300,0.05,79,118854,71.5
300,0.05,80,229951,70.5
300,0.05,81,6116,74.5
300,0.05,82,192965,79.0
300,0.05,83,83948,72.5
300,0.05,84,17411,66.5
300,0.05,85,61096,87.5
300,0.05,86,101269,88.5
300,0.05,87,116487,71.0
300,0.05,88,321347,68.0
300,0.05,89,33154,71.0
300,0.05,90,95460,77.5
300,0.05,91,135206,56.5
300,0.05,92,92469,62.5
300,0.05,93,113986,61.5
300,0.05,94,35282,84.5
300,0.05,95,122816,82.5
300,0.05,96,85179,68.0
300,0.05,97,145060,77.0
300,0.05,98,221978,67.5
300,0.1,1,271204,61.0
300,0.1,2,18705,75.5
300,0.1,3,6250,63.5
300,0.1,4,3346,81.0
300,0.1,5,6361,69.5
300,0.1,6,17637,56.5
300,0.1,7,332360,69.5
300,0.1,8,172709,80.0
300,0.1,9,169501,78.0
300,0.1,10,93889,96.0
300,0.1,11,10500,60.5
300,0.1,12,7009,72.5
300,0.1,13,123035,80.0
300,0.1,14,236595,60.5
300,0.1,15,217350,80.5
300,0.1,16,399559,68.5
300,0.1,17,34740,76.0
300,0.1,18,44232,66.0
300,0.1,19,28956,81.5
300,0.1,20,100832,66.5
300,0.1,21,157330,68.5
300,0.1,22,11556,81.0
300,0.1,23,159087,77.5
300,0.1,24,60085,64.5
300,0.1,25,175837,72.5
300,0.1,26,251612,71.5
300,0.1,27,246494,66.0
300,0.1,28,60298,68.5
300,0.1,29,129010,60.0
300,0.1,30,63251,62.0
300,0.1,31,74360,67.5
300,0.1,32,181075,66.5
300,0.1,33,96950,81.0
300,0.1,34,86144,60.5
300,0.1,35,33284,88.0
300,0.1,36,144638,50.5
300,0.1,37,227815,79.0
300,0.1,38,14130,88.0
300,0.1,39,263176,56.5
300,0.1,40,106590,77.0
300,0.1,41,45507,69.5
300,0.1,42,137220,70.0
300,0.1,43,165098,58.0
300,0.1,44,81446,70.0
300,0.1,45,113791,90.0
300,0.1,46,148764,63.5
300,0.1,47,45737,75.0
300,0.1,48,145224,82.5
300,0.1,49,139552,84.0
300,0.1,50,91633,60.5
300,0.1,51,21347,64.5
300,0.1,52,139084,69.0
300,0.1,53,363787,84.0
300,0.1,54,146043,67.0
300,0.1,55,202270,72.5
300,0.1,56,130945,74.0
300,0.1,57,397177,77.0
300,0.1,58,26947,88.5
300,0.1,59,19565,72.5
300,0.1,60,276949,71.5
300,0.1,61,217400,86.5
300,0.1,62,377815,58.5
300,0.1,63,161108,75.0
300,0.1,64,16866,85.5
300,0.1,65,83023,72.5
300,0.1,66,13845,85.0
300,0.1,67,41514,54.0
300,0.1,68,119513,62.5
300,0.1,69,321292,64.5
300,0.1,70,5935,86.5
300,0.1,71,8956,72.0
300,0.1,72,214218,67.0
300,0.1,73,172360,66.0
300,0.1,74,15651,73.0
300,0.1,75,130303,96.0
300,0.1,76,7845,91.0
300,0.1,77,84121,70.5
300,0.1,78,11589,98.0
300,0.1,79,35190,81.5
300,0.1,80,368492,68.5
300,0.1,81,264028,82.5
300,0.1,82,248642,55.5
300,0.1,83,4497,88.5
300,0.1,84,64828,71.5
300,0.1,85,143415,72.0
300,0.1,86,145353,82.5
300,0.1,87,20058,71.0
300,0.1,88,159725,66.0
300,0.1,89,73259,66.5
300,0.1,90,124287,82.5
300,0.1,91,189265,72.0
300,0.1,92,15724,63.0
300,0.1,93,183291,70.5
300,0.1,94,205310,71.0
300,0.1,95,162081,60.5
300,0.1,96,170446,73.0
300,0.1,97,84284,77.5
300,0.15,1,111865,101.0
300,0.15,2,164307,68.5
300,0.15,3,17002,72.5
300,0.15,4,28722,82.5
300,0.15,5,52666,57.0
300,0.15,6,88350,74.5
300,0.15,7,235977,87.0
300,0.15,8,142663,63.0
300,0.15,9,357119,81.5
300,0.15,10,77683,88.0
300,0.15,11,100978,80.5
300,0.15,12,171448,67.5
300,0.15,13,196457,72.5
300,0.15,14,134612,66.5
300,0.15,15,341935,84.5
300,0.15,16,120663,73.0
300,0.15,17,145193,68.0
300,0.15,18,198276,57.5
300,0.15,19,18755,90.0
300,0.15,20,66597,60.5
300,0.15,21,92613,85.0
300,0.15,22,97405,72.0
300,0.15,23,208181,64.0
300,0.15,24,131932,62.0
300,0.15,25,237332,60.0
300,0.15,26,212810,68.5
300,0.15,27,296068,73.5
300,0.15,28,290580,80.0
300,0.15,29,387706,67.0
300,0.15,30,13723,74.0
300,0.15,31,337149,72.0
300,0.15,32,156683,58.0
300,0.15,33,301586,95.0
300,0.15,34,124597,80.5
300,0.15,35,242122,71.5
300,0.15,36,137917,102.5
300,0.15,37,392528,84.0
300,0.15,38,45593,88.5
300,0.15,39,342041,83.0
300,0.15,40,199338,50.5
300,0.15,41,21799,89.5
300,0.15,42,174682,83.0
300,0.15,43,265885,84.0
300,0.15,44,192479,58.5
300,0.15,45,234105,63.0
300,0.15,46,58686,78.5
300,0.15,47,68779,69.5
300,0.15,48,177123,63.5
300,0.15,49,52402,77.5
300,0.15,50,13518,86.0
300,0.15,51,80641,83.0
300,0.15,52,388821,83.0
300,0.15,53,138999,71.0
300,0.15,54,77952,75.0
300,0.15,55,23693,65.5
300,0.15,56,9573,95.5
300,0.15,57,28767,81.0
300,0.15,58,9415,81.5
300,0.15,59,379148,84.5
300,0.15,60,10263,75.0
300,0.15,61,286187,74.5
300,0.15,62,259179,76.5
300,0.15,63,112996,79.0
300,0.15,64,115663,72.0
300,0.15,65,131588,60.5
300,0.15,66,219016,73.5
300,0.15,67,19219,82.0
300,0.15,68,258066,56.5
300,0.15,69,222917,60.5
300,0.15,70,110375,70.0
300,0.15,71,44950,56.0
300,0.15,72,200765,53.0
300,0.15,73,71707,74.0
300,0.15,74,7739,65.5
300,0.15,75,30685,80.5
300,0.15,76,104618,67.0
300,0.15,77,309594,87.0
300,0.15,78,11187,87.0
300,0.15,79,146520,67.0
300,0.15,80,245318,84.0
300,0.15,81,7556,67.0
300,0.15,82,30910,60.5
300,0.15,83,116406,94.0
300,0.15,84,115086,51.0
300,0.15,85,134908,80.5
300,0.15,86,157528,58.5
300,0.15,87,162136,63.5
300,0.15,88,113251,71.5
300,0.15,89,149948,77.0
300,0.15,90,5407,87.5
300,0.15,91,227537,64.0
300,0.15,92,393191,73.0
300,0.15,93,194005,69.0
300,0.15,94,4799,78.0
300,0.15,95,396298,78.0
300,0.15,96,3530,77.5
300,0.15,97,384966,64.5
300,0.15,98,217827,84.0
500,0.05,1,87672,82.0
500,0.05,2,307014,65.5
500,0.05,3,20164,61.0
500,0.05,4,134148,78.0
500,0.05,5,8301,80.5
500,0.05,6,120490,69.0
500,0.05,7,134230,76.0
500,0.05,8,119044,95.5
500,0.05,9,335910,62.0
500,0.05,10,15791,72.0
500,0.05,11,167282,61.5
500,0.05,12,93764,80.0
500,0.05,13,82053,75.0
500,0.05,14,238546,64.5
500,0.05,15,7881,82.5
500,0.05,16,11015,80.5
500,0.05,17,27860,86.5
500,0.05,18,318917,84.0
500,0.05,19,402386,77.5
500,0.05,20,105614,61.0
500,0.05,21,171490,87.0
500,0.05,22,246409,87.5
500,0.05,23,136730,61.0
500,0.05,24,41768,70.5
500,0.05,25,228413,78.0
500,0.05,26,58238,61.0
500,0.05,27,24274,75.5
500,0.05,28,382301,61.0
500,0.05,29,290107,68.0
500,0.05,30,106285,83.0
500,0.05,31,47436,65.0
500,0.05,32,10432,72.5
500,0.05,33,101199,67.0
500,0.05,34,107318,56.5
500,0.05,35,17829,86.0
500,0.05,36,23946,64.5
500,0.05,37,109698,69.0
500,0.05,38,210878,82.5
500,0.05,39,71163,65.0
500,0.05,40,130653,63.5
500,0.05,41,206564,71.5
500,0.05,42,111714,87.0
500,0.05,43,172404,58.0
500,0.05,44,195689,87.0
500,0.05,45,128680,50.5
500,0.05,46,49116,70.5
500,0.05,47,145149,79.5
500,0.05,48,22254,62.0
500,0.05,49,286936,68.0
500,0.05,50,11308,97.5
500,0.05,51,93207,93.5
500,0.05,52,8298,83.0
500,0.05,53,22050,77.5
500,0.05,54,240556,78.5
500,0.05,55,253276,84.0
500,0.05,56,170143,64.0
500,0.05,57,81527,75.5
500,0.05,58,279481,95.0
500,0.05,59,66255,73.0
500,0.05,60,10294,78.0
500,0.05,61,65559,105.5
500,0.05,62,99525,75.0
500,0.05,63,19918,64.5
500,0.05,64,168034,61.0
500,0.05,65,2877,77.0
500,0.05,66,17272,68.5
500,0.05,67,41949,68.5
500,0.05,68,153625,58.0
500,0.05,69,237674,52.0
500,0.05,70,56644,92.5
500,0.05,71,388181,68.0
500,0.05,72,54269,60.5
500,0.05,73,33096,77.0
500,0.05,74,111042,90.5
500,0.05,75,225819,59.0
500,0.05,76,33289,76.0
500,0.05,77,66950,65.0
500,0.05,78,9470,80.5
500,0.05,79,9187,82.0
500,0.05,80,114210,68.5
500,0.05,81,134144,80.0
500,0.05,82,26422,68.5
500,0.05,83,167880,51.0
500,0.05,84,86802,77.0
500,0.05,85,171088,83.5
500,0.05,86,304148,81.0
500,0.05,87,10464,80.5
500,0.05,88,69925,78.0
500,0.05,89,210654,76.0
500,0.05,90,173113,75.0
500,0.05,91,150725,75.0
500,0.05,92,156912,65.5
500,0.05,93,256840,69.5
500,0.05,94,162449,65.5
500,0.05,95,252161,61.5
500,0.05,96,139436,87.0
500,0.05,97,139651,55.5
500,0.05,98,16370,70.0
500,0.1,1,82258,76.5
500,0.1,2,158970,79.0
500,0.1,3,237646,67.0
500,0.1,4,12710,90.5
500,0.1,5,223496,81.5
500,0.1,6,11742,70.5
500,0.1,7,40100,64.0
500,0.1,8,210430,90.0
500,0.1,9,8238,75.0
500,0.1,10,232162,79.0
500,0.1,11,7322,68.0
500,0.1,12,7325,83.5
500,0.1,13,100822,86.0
500,0.1,14,90931,64.0
500,0.1,15,43773,68.0
500,0.1,16,97922,48.0
500,0.1,17,45162,79.0
500,0.1,18,172705,72.5
500,0.1,19,173983,77.5
500,0.1,20,210027,70.0
500,0.1,21,24846,86.5
500,0.1,22,203747,87.5
500,0.1,23,190782,77.0
500,0.1,24,39997,70.5
500,0.1,25,407245,57.0
500,0.1,26,366645,63.0
500,0.1,27,25787,91.5
500,0.1,28,122602,82.5
500,0.1,29,27738,77.5
500,0.1,30,223107,72.0
500,0.1,31,393237,76.0
500,0.1,32,269663,70.5
500,0.1,33,54879,76.5
500,0.1,34,178374,83.0
500,0.1,35,176027,82.0
500,0.1,36,32995,94.0
500,0.1,37,258508,83.0
500,0.1,38,10152,52.0
500,0.1,39,307993,80.0
500,0.1,40,20120,76.5
500,0.1,41,22475,90.5
500,0.1,42,22870,72.5
500,0.1,43,17208,63.0
500,0.1,44,217608,72.5
500,0.1,45,125368,85.0
500,0.1,46,216058,91.0
500,0.1,47,57751,72.0
500,0.1,48,3582,61.0
500,0.1,49,79026,99.5
500,0.1,50,355067,66.0
500,0.1,51,78912,82.5
500,0.1,52,232526,56.5
500,0.1,53,407094,88.0
500,0.1,54,368339,69.5
500,0.1,55,180760,73.5
500,0.1,56,206838,90.0
500,0.1,57,165007,85.0
500,0.1,58,183408,98.5
500,0.1,59,40382,74.0
500,0.1,60,82621,72.0
500,0.1,61,11303,88.0
500,0.1,62,51113,72.0
500,0.1,63,167989,83.0
500,0.1,64,145862,79.5
500,0.1,65,379722,82.0
500,0.1,66,148022,57.5
500,0.1,67,26668,59.0
500,0.1,68,206612,95.5
500,0.1,69,65957,68.0
500,0.1,70,142910,77.0
500,0.1,71,47996,67.0
500,0.1,72,179013,82.5
500,0.1,73,264542,78.0
500,0.1,74,180619,76.5
500,0.1,75,390183,74.0
500,0.1,76,141029,76.0
500,0.1,77,176675,72.5
500,0.1,78,45081,82.5
500,0.1,79,203017,57.5
500,0.1,80,242020,77.0
500,0.1,81,388840,68.5
500,0.1,82,261775,83.5
500,0.1,83,201956,75.5
500,0.1,84,220018,75.0
500,0.1,85,8281,78.0
500,0.1,86,251897,72.5
500,0.1,87,158688,87.0
500,0.1,88,85903,80.0
500,0.1,89,324059,65.5
500,0.1,90,122238,75.0
500,0.1,91,80167,50.5
500,0.1,92,173287,101.5
500,0.1,93,203948,73.0
500,0.1,94,13875,76.5
500,0.1,95,13543,78.5
500,0.1,96,73191,81.0
500,0.1,97,124666,57.0
500,0.1,98,213293,65.5
500,0.15,1,91979,55.5
500,0.15,2,17981,64.0
500,0.15,3,10282,71.0
500,0.15,4,316470,60.0
500,0.15,5,67332,72.0
500,0.15,6,394102,59.5
500,0.15,7,19505,70.5
500,0.15,8,148578,50.5
500,0.15,9,33455,82.5
500,0.15,10,145764,64.0
500,0.15,11,200904,63.0
500,0.15,12,367989,79.5
500,0.15,13,180531,77.0
500,0.15,14,9275,90.0
500,0.15,15,78769,73.0
500,0.15,16,10274,75.0
500,0.15,17,10380,101.0
500,0.15,18,183089,62.5
500,0.15,19,154856,64.5
500,0.15,20,184172,81.5
500,0.15,21,103516,74.0
500,0.15,22,104520,89.5
500,0.15,23,83385,87.5
500,0.15,24,291992,78.0
500,0.15,25,181441,70.0
500,0.15,26,59731,87.0
500,0.15,27,70828,73.0
500,0.15,28,196334,80.0
500,0.15,29,101626,71.5
500,0.15,30,90365,65.5
500,0.15,31,357945,60.5
500,0.15,32,55196,56.5
500,0.15,33,181313,68.0
500,0.15,34,5715,102.0
500,0.15,35,181393,98.5
500,0.15,36,264728,65.5
500,0.15,37,135025,67.0
500,0.15,38,168300,56.5
500,0.15,39,194873,72.5
500,0.15,40,94865,84.0
500,0.15,41,102264,80.0
500,0.15,42,101207,71.5
500,0.15,43,84774,83.0
500,0.15,44,263337,96.0
500,0.15,45,23490,58.5
500,0.15,46,177781,76.0
500,0.15,47,147588,96.0
500,0.15,48,165855,67.0
500,0.15,49,6587,72.5
500,0.15,50,50804,66.5
500,0.15,51,135833,78.5
500,0.15,52,27389,63.5
500,0.15,53,193098,90.5
500,0.15,54,58216,72.0
500,0.15,55,183104,58.5
500,0.15,56,247403,64.0
500,0.15,57,6292,90.5
500,0.15,58,103689,68.0
500,0.15,59,66550,76.0
500,0.15,60,146887,77.0
500,0.15,61,171466,68.0
500,0.15,62,44003,57.0
500,0.15,63,8103,60.0
500,0.15,64,67547,55.5
500,0.15,65,79268,57.5
500,0.15,66,28155,85.5
500,0.15,67,132782,73.0
500,0.15,68,53123,78.0
500,0.15,69,17934,81.5
500,0.15,70,208269,73.0
500,0.15,71,279304,71.0
500,0.15,72,248685,86.0
500,0.15,73,105797,78.0
500,0.15,74,120775,80.0
500,0.15,75,24755,84.5
500,0.15,76,161310,56.5
500,0.15,77,15333,90.0
500,0.15,78,44793,72.5
500,0.15,79,29486,82.5
500,0.15,80,74977,65.5
500,0.15,81,93811,79.0
500,0.15,82,104852,75.5
500,0.15,83,108922,61.0
500,0.15,84,305708,73.5
500,0.15,85,363379,61.5
500,0.15,86,252997,78.0
500,0.15,87,50926,61.5
500,0.15,88,244978,76.0
500,0.15,89,8783,77.0
500,0.15,90,70817,60.0
500,0.15,91,10522,75.5
500,0.15,92,150771,84.5
500,0.15,93,102876,81.5
500,0.15,94,108219,54.5
500,0.15,95,9250,88.5
500,0.15,96,179730,74.0
500,0.15,97,91684,76.0
700,0.05,1,381060,66.0
700,0.05,2,198075,77.5
700,0.05,3,32691,83.5
700,0.05,4,391889,83.0
700,0.05,5,130163,79.5
700,0.05,6,226760,70.0
700,0.05,7,87941,80.0
700,0.05,8,85094,88.5
700,0.05,9,219655,67.0
700,0.05,10,26740,77.5
700,0.05,11,173636,68.0
700,0.05,12,315675,78.5
700,0.05,13,133102,59.5
700,0.05,14,162431,80.5
700,0.05,15,276574,53.0
700,0.05,16,99308,84.0
700,0.05,17,8314,83.0
700,0.05,18,143434,77.0
700,0.05,19,79647,65.5
700,0.05,20,282157,82.5
700,0.05,21,12032,98.0
700,0.05,22,47006,63.5
700,0.05,23,21542,79.5
700,0.05,24,245885,77.5
700,0.05,25,26316,96.0
700,0.05,26,401851,60.5
700,0.05,27,107041,74.5
700,0.05,28,153678,76.5
700,0.05,29,321744,56.5
700,0.05,30,133221,72.5
700,0.05,31,163953,65.5
700,0.05,32,289550,78.5
700,0.05,33,378350,74.0
700,0.05,34,14989,83.5
700,0.05,35,28520,68.0
700,0.05,36,15957,66.5
700,0.05,37,10557,62.5
700,0.05,38,45163,58.5
700,0.05,39,176515,53.0
700,0.05,40,280594,82.0
700,0.05,41,66039,58.0
700,0.05,42,115313,82.5
700,0.05,43,286287,65.0
700,0.05,44,159182,58.0
700,0.05,45,216732,73.5
700,0.05,46,160542,74.0
700,0.05,47,7751,82.5
700,0.05,48,58813,95.5
700,0.05,49,405959,61.0
700,0.05,50,238132,85.0
700,0.05,51,121976,83.5
700,0.05,52,161704,74.0
700,0.05,53,92377,71.5
700,0.05,54,37219,50.5
700,0.05,55,115930,69.5
700,0.05,56,64851,65.5
700,0.05,57,81546,67.5
700,0.05,58,254876,80.0
700,0.05,59,360709,80.0
700,0.05,60,189687,64.0
700,0.05,61,346988,82.5
700,0.05,62,117121,84.0
700,0.05,63,114264,86.0
700,0.05,64,236362,73.5
700,0.05,65,401099,80.5
700,0.05,66,18203,76.0
700,0.05,67,173402,71.5
700,0.05,68,212465,68.5
700,0.05,69,135147,70.0
700,0.05,70,22807,86.0
700,0.05,71,52172,51.0
700,0.05,72,53545,70.5
700,0.05,73,219593,88.5
700,0.05,74,106828,81.0
700,0.05,75,194125,74.5
700,0.05,76,153060,75.0
700,0.05,77,272827,71.0
700,0.05,78,239663,52.0
700,0.05,79,134850,88.5
700,0.05,80,69137,82.0
700,0.05,81,77720,85.5
700,0.05,82,133355,77.0
700,0.05,83,249010,68.5
700,0.05,84,371440,72.0
700,0.05,85,296025,60.5
700,0.05,86,97434,65.5
700,0.05,87,53082,72.5
700,0.05,88,200941,82.0
700,0.05,89,77513,68.5
700,0.05,90,221088,59.5
700,0.05,91,125502,63.0
700,0.05,92,167341,65.5
700,0.05,93,12244,85.0
700,0.05,94,36611,75.0
700,0.05,95,139110,72.0
700,0.05,96,2838,75.5
700,0.05,97,216741,80.0
700,0.1,1,173930,86.0
700,0.1,2,35828,54.5
700,0.1,3,270189,73.5
700,0.1,4,221135,91.5
700,0.1,5,319406,72.5
700,0.1,6,161525,68.0
700,0.1,7,124667,69.5
700,0.1,8,258162,64.0
700,0.1,9,323761,69.5
700,0.1,10,228638,61.0
700,0.1,11,9054,89.0
700,0.1,12,63886,94.0
700,0.1,13,337873,71.5
700,0.1,14,318171,52.5
700,0.1,15,342830,72.0
700,0.1,16,141859,71.0
700,0.1,17,203293,72.5
700,0.1,18,38037,63.0
700,0.1,19,47333,79.5
700,0.1,20,374214,82.0
700,0.1,21,64947,60.5
700,0.1,22,145536,80.5
700,0.1,23,169955,65.5
700,0.1,24,248467,68.0
700,0.1,25,178901,58.0
700,0.1,26,179986,71.0
700,0.1,27,29564,62.5
700,0.1,28,146581,67.0
700,0.1,29,249962,82.0
700,0.1,30,7296,87.0
700,0.1,31,11814,53.0
700,0.1,32,76781,78.5
700,0.1,33,51882,62.0
700,0.1,34,147785,82.5
700,0.1,35,137812,87.0
700,0.1,36,235095,74.5
700,0.1,37,25687,81.5
700,0.1,38,254786,82.5
700,0.1,39,96230,62.5
700,0.1,40,174776,85.5
700,0.1,41,20600,65.5
700,0.1,42,2473,84.5
700,0.1,43,221287,75.0
700,0.1,44,9803,78.5
700,0.1,45,169915,61.0
700,0.1,46,320549,63.5
700,0.1,47,32168,86.0
700,0.1,48,7499,75.0
700,0.1,49,86159,77.5
700,0.1,50,4383,90.0
700,0.1,51,17752,54.5
700,0.1,52,139945,77.0
700,0.1,53,259437,81.0
700,0.1,54,15547,64.5
700,0.1,55,200212,81.0
700,0.1,56,50577,60.5
700,0.1,57,35121,74.5
700,0.1,58,345157,50.5
700,0.1,59,364665,67.5
700,0.1,60,54996,68.0
700,0.1,61,7027,65.5
700,0.1,62,120103,76.5
700,0.1,63,316619,78.5
700,0.1,64,7746,74.0
700,0.1,65,112943,65.5
700,0.1,66,95871,57.5
700,0.1,67,132325,86.0
700,0.1,68,57759,79.0
700,0.1,69,192565,54.5
700,0.1,70,138570,92.5
700,0.1,71,172371,77.5
700,0.1,72,194026,76.0
700,0.1,73,203522,60.5
700,0.1,74,3297,80.0
700,0.1,75,46599,74.0
700,0.1,76,46374,79.5
700,0.1,77,13435,83.5
700,0.1,78,18981,92.0
700,0.1,79,21525,78.0
700,0.1,80,63920,68.0
700,0.1,81,110741,74.5
700,0.1,82,24870,86.0
700,0.1,83,146838,77.5
700,0.1,84,144784,70.0
700,0.1,85,60319,58.5
700,0.1,86,198665,90.0
700,0.1,87,358876,59.5
700,0.1,88,49990,77.0
700,0.1,89,383695,50.5
700,0.1,90,101407,86.5
700,0.1,91,83669,83.0
700,0.1,92,61482,84.0
700,0.1,93,321317,77.5
700,0.1,94,70970,77.0
700,0.1,95,198806,57.0
700,0.1,96,51267,72.0
700,0.1,97,389585,94.0
700,0.1,98,46351,76.5
700,0.15,1,73721,87.0
700,0.15,2,19504,75.5
700,0.15,3,333204,63.5
700,0.15,4,69900,68.5
700,0.15,5,38878,86.0
700,0.15,6,76192,65.0
700,0.15,7,214409,58.0
700,0.15,8,20218,68.5
700,0.15,9,333483,66.0
700,0.15,10,262554,78.0
700,0.15,11,160251,81.5
700,0.15,12,133274,68.5
700,0.15,13,188763,62.5
700,0.15,14,54977,79.0
700,0.15,15,67074,87.0
700,0.15,16,255519,69.0
700,0.15,17,118393,80.0
700,0.15,18,27069,79.0
700,0.15,19,41174,79.0
700,0.15,20,73833,84.0
700,0.15,21,145869,61.5
700,0.15,22,168949,73.5
700,0.15,23,264991,81.5
700,0.15,24,64394,73.0
700,0.15,25,73449,82.5
700,0.15,26,29452,63.5
700,0.15,27,181735,81.5
700,0.15,28,16554,96.0
700,0.15,29,206320,63.0
700,0.15,30,225133,61.5
700,0.15,31,26364,89.5
700,0.15,32,192286,88.5
700,0.15,33,39838,84.0
700,0.15,34,383756,62.5
700,0.15,35,345043,75.5
700,0.15,36,10907,57.0
700,0.15,37,158341,70.0
700,0.15,38,359566,68.0
700,0.15,39,33492,65.5
700,0.15,40,165014,64.5
700,0.15,41,17021,73.5
700,0.15,42,179817,67.5
700,0.15,43,186023,71.5
700,0.15,44,201667,58.0
700,0.15,45,14980,90.0
700,0.15,46,291914,61.0
700,0.15,47,266674,74.5
700,0.15,48,50164,79.0
700,0.15,49,217853,63.0
700,0.15,50,11242,87.5
700,0.15,51,117662,69.0
700,0.15,52,73321,77.0
700,0.15,53,7802,75.5
700,0.15,54,130915,67.5
700,0.15,55,98676,58.5
700,0.15,56,198863,70.0
700,0.15,57,200280,54.5
700,0.15,58,113170,68.5
700,0.15,59,89364,73.0
700,0.15,60,350313,92.5
700,0.15,61,170638,63.5
700,0.15,62,187853,70.0
700,0.15,63,53095,86.0
700,0.15,64,338001,67.5
700,0.15,65,230319,71.5
700,0.15,66,227434,64.0
700,0.15,67,161251,80.0
700,0.15,68,4662,81.0
700,0.15,69,306933,62.0
700,0.15,70,208467,65.0
700,0.15,71,21833,65.0
700,0.15,72,285141,71.0
700,0.15,73,350654,68.0
700,0.15,74,247277,63.5
700,0.15,75,8968,69.0
700,0.15,76,259856,54.0
700,0.15,77,14043,81.0
700,0.15,78,74720,83.5
700,0.15,79,353229,60.5
700,0.15,80,94371,82.0
700,0.15,81,120775,69.0
700,0.15,82,157600,66.0
700,0.15,83,33930,67.5
700,0.15,84,56159,87.0
700,0.15,85,199086,81.0
700,0.15,86,65955,79.5
700,0.15,87,79040,59.5
700,0.15,88,154412,82.5
700,0.15,89,339584,67.0
700,0.15,90,55174,54.5
700,0.15,91,94583,83.5
700,0.15,92,79701,79.5
700,0.15,93,16486,85.0
700,0.15,94,327897,56.0
700,0.15,95,7336,84.5
700,0.15,96,11941,72.0
700,0.15,97,222988,86.0
700,0.15,98,59844,92.0
